Release Date,Unit
11/27/2019,Murakumo
11/27/2019,Alk
11/27/2019,Arisa
11/27/2019,Nimbus
11/27/2019,Marina
11/27/2019,Vagner
11/27/2019,Clarisse
11/27/2019,Leon
11/27/2019,Celtie
11/27/2019,Phiria
11/27/2019,Vyron
11/27/2019,Belsidia
11/27/2019,Sonia
11/27/2019,Suizen
11/27/2019,Inaho
11/27/2019,Cagliostro
11/27/2019,Nephtim
11/27/2019,Razelt
11/27/2019,Eclair
11/27/2019,Clyde
11/27/2019,Bianca
11/27/2019,Asukirimaru
11/27/2019,Azel
11/27/2019,Hanabi
11/27/2019,Melsele
11/27/2019,Mia
11/27/2019,Soushiro
11/27/2019,Aurore
11/27/2019,Helga
11/27/2019,Liam
11/27/2019,Marianne
11/27/2019,Andy
11/27/2019,Liesel
11/27/2019,Sharon
11/27/2019,Amelia
11/27/2019,Alice
11/27/2019,Yuwel
11/27/2019,Rams
11/27/2019,Regis
11/27/2019,Renoir
11/27/2019,Mino
11/27/2019,Eleanor
11/27/2019,Ellya
11/27/2019,Gerard
11/27/2019,Keira
11/27/2019,Finn
11/27/2019,Gilasrad
11/27/2019,Lilial
11/27/2019,Marnie
11/27/2019,Enni
11/27/2019,Jake
11/27/2019,Jin
11/27/2019,Trine
11/27/2019,Haaj
11/27/2019,Naska
11/27/2019,Mew
11/27/2019,Evan
11/27/2019,Jester
11/27/2019,Challua
11/27/2019,Conner
11/27/2019,Folus
11/27/2019,Hartlief
11/27/2019,Dorothea
11/27/2019,Rebecca
11/27/2019,Shion
11/27/2019,Adil
11/27/2019,Arly
11/27/2019,Jalil
11/27/2019,Falsche
11/27/2019,Lassie
11/27/2019,Rico
11/27/2019,Walter
11/27/2019,Shirano
11/27/2019,Elza
11/27/2019,Kaiyu
11/27/2019,Keylos
11/27/2019,Klaus
11/27/2019,Trista
11/27/2019,Faf
11/27/2019,Sha Suzu
11/27/2019,Albert
11/27/2019,Yuna
11/27/2019,Kazuchi
11/27/2019,Colt
11/27/2019,Claw
11/27/2019,Taiga
11/27/2019,Tatiana
11/27/2019,Bonnie
11/27/2019,Raul
11/27/2019,Luluca
11/27/2019,Marguerite
11/27/2019,Miles
11/27/2019,Cecilia
11/27/2019,Aureo
11/27/2019,Corinna
11/27/2019,Owlbert
11/27/2019,Golem
11/27/2019,Kamaitachi
11/27/2019,Shroombo
11/27/2019,Red Blobble
11/27/2019,Blue Blobble
11/27/2019,Yellow Blobble
11/27/2019,Green Blobble
11/27/2019,Fire Imp
11/27/2019,Zapquill
12/16/2019,XSoushiro
12/16/2019,XInaho
12/16/2019,XMarianne
12/16/2019,XAureo
12/16/2019,XChallua
12/16/2019,Kannon
12/16/2019,Fiora
12/31/2019,Noenne
12/31/2019,NYEllya
12/31/2019,NYLuluca
12/31/2019,NYYuwel
12/31/2019,NYRebecca
12/31/2019,NYMew
12/31/2019,Kharo
12/31/2019,Quazer
01/15/2020,Cipher
01/15/2020,Mormia
01/15/2020,Adonis
01/15/2020,Kate
01/15/2020,Elise
01/15/2020,Towa Kiseki
01/15/2020,CF Kiseki
01/31/2020,Metis
01/31/2020,Kikuno
01/31/2020,Levy
01/31/2020,Lou
01/31/2020,Cran
01/31/2020,Parfait
02/06/2020,Regitare
02/15/2020,Selene
02/15/2020,Shywe
02/15/2020,Saar
02/15/2020,Nochel
02/29/2020,Rolf
02/29/2020,Barrek
02/29/2020,Illumine
02/29/2020,Suzuka
03/13/2020,Bulleta
03/13/2020,Teurgis
03/13/2020,Hopper
03/13/2020,Mordiaga
03/13/2020,Love
03/23/2020,Arum
03/31/2020,Carla
03/31/2020,Remnith
03/31/2020,Rudy
03/31/2020,Lyla
03/31/2020,Meryll
04/15/2020,Miguel
04/15/2020,Kohane
04/15/2020,Floretta
04/15/2020,Clara
04/15/2020,Jay
04/30/2020,Rakisha
04/30/2020,Libram
04/30/2020,Selgir
04/30/2020,Mizuchi
04/30/2020,Vargen
05/15/2020,Sera
05/15/2020,Kyrie
05/15/2020,Sohvi
05/15/2020,Harlisha
05/15/2020,Rain
05/31/2020,HNephtim
05/31/2020,Olivia
05/31/2020,Botan
05/31/2020,Luna
05/31/2020,Hayz
05/31/2020,Samantha
05/31/2020,Prika
06/12/2020,Kokkoro
06/12/2020,Pecorine
06/12/2020,Karyl
06/12/2020,Melmyna
06/12/2020,Sven
06/23/2020,Dia
06/30/2020,SIllumine
06/30/2020,SMia
06/30/2020,SLiesel
06/30/2020,SNaska
06/30/2020,Nellie
07/13/2020,SBelsidia
07/13/2020,Schult
07/13/2020,Roselia
07/13/2020,Keyana
07/13/2020,Ritta
07/31/2020,SAlice
07/31/2020,Lyra
