,Leader,Leader Unison,Main 2,Unison 2,Main 3,Unison 3,L Weapon,L Soul,2 Weapon,2 Soul,3 Weapon,3 Soul,L4,L5,L6,LU4,LU5,LU6,24,25,26,2U4,2U5,2U6,34,35,36,3U4,3U5,3U6,URL,Date
0,Stella,SYuna,Special Week,Teurgis,blank,SNephtim,Tyr,Totemic Cestus,Totemic Cestus,Totemic Cestus,Vigilance,Totemic Cestus,0,0,0,6,6,6,6,6,6,6,6,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/stella_ballot23-twin_blader_smr22-special_week-starbreak_hunter-blank-ruin_girl_smr21-bow_0033_raid-fist_0023-fist_0023-fist_0023-spear_0030_boss_unique-fist_0023@---,555,555,555,---,555.png",2023-04-19 20:44:00
1,Stella,Teurgis,Quinvid,SYuna,HNephtim,XFolus,Tyr,Totemic Cestus,Totemic Cestus,Totemic Cestus,Vigilance,Totemic Cestus,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/stella_ballot23-starbreak_hunter-airship_captain-twin_blader_smr22-ruin_girl_halfanv-devil_clown_xm21-bow_0033_raid-fist_0023-fist_0023-fist_0023-spear_0030_boss_unique-fist_0023@---,555,555,555,555,555.png",2023-04-16 23:02:00
2,Soushiro,SShota,blank,blank,blank,blank,Acid Sky,Acid Sky,blank,blank,blank,blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/samurai-psychic_shouta_smr22-blank-blank-blank-blank-sword_0064_raid-sword_0064_raid-blank-blank-blank-blank@---,---,---,---,---,---.png",2023-04-15 22:16:00
3,MPhiria,SShota,Nevia,Hartlief,Nellie,Kohane,Acid Sky,Woodsprite Greatsword,Death's Tomb,Woodsprite Greatsword,Woodsprite Greatsword,Woodsprite Greatsword,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/wind_oracle_meteor23-psychic_shouta_smr22-beast_shaman-herbalist-lazy_genious-tengu_girl-sword_0064_raid-sword_0014-book_0016_boss_unique-sword_0014-sword_0014-sword_0014@---,005,---,---,---,---.png",2023-04-09 18:20:00
4,MSotieth,Cipher,Fraxis,Luca,Sonia,PShuilong,Zlata Lalas,Iris Blaster,Juanrico,Zlata Lalas,Claws of the Deep,SK509,0,0,0,0,0,0,6,6,6,6,6,6,0,0,0,6,6,6,"https://eliya-bot.herokuapp.com/comp/ruin_lady_meteor23-ice_witch-navy_officer-luca_playable-brown_fighter-waterdragon_kunfu_proud-fist_0033_raid-gun_0007-sword_0073_raid-fist_0033_raid-fist_0020_boss_unique-gun_0012_boss_unique@---,---,555,555,---,555.png",2023-04-09 09:45:00
5,Mia,Kyrie,Helga,Nate,Soushiro,Eclair,blank,blank,blank,blank,blank,blank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/tiger_treasure_hunter-crybaby_shooter-dog_slasher-hero_girl-samurai-bodysuit_trooper-blank-blank-blank-blank-blank-blank@---,---,---,---,---,---.png",2023-04-06 01:27:00
6,Ciel,PShuilong,MSotieth,Luca,ADia,Fraxis,Seafang Spear,Encounter,Juanrico,Iris Blaster,Juturna's Fan,Iris Blaster,0,0,0,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/wind_spbro_3anv-waterdragon_kunfu_proud-ruin_lady_meteor23-luca_playable-sing_android_2halfanv-navy_officer-spear_0029_raid-sword_0062_storyevent-sword_0073_raid-gun_0007-sword_0042_decay-gun_0007@---,555,---,---,555,555.png",2023-04-05 08:51:00
7,ADia,Fraxis,MSotieth,Luca,Sotieth,Toraetty,Seafang Spear,Claws of the Deep,Juanrico,Iris Blaster,Zlata Lalas,Stormarcana,6,6,6,6,6,6,0,0,0,0,0,0,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/sing_android_2halfanv-navy_officer-ruin_lady_meteor23-luca_playable-ruin_lady-heavenly_three-spear_0029_raid-fist_0020_boss_unique-sword_0073_raid-gun_0007-fist_0033_raid-sword_0061@555,555,---,---,555,555.png",2023-04-04 19:15:00
8,King Johnson,NYTink,Memram,Strina,Laputina,Sera,One More Time,Uninscribed Bow,Uninscribed Bow,Uninscribed Bow,Ancestral Claw,Uninscribed Bow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/pbc_ceo_playable-general_toyakiren_ny23-horn_leader-cyber_battergirl-nihilist_mechgirl-machine_police_girl-bow_0025_raid-bow_0001-bow_0001-bow_0001-fist_0019_boss_unique-bow_0001@---,---,---,---,---,---.png",2023-04-03 23:12:00
9,Ciel,Luca,MSotieth,Fraxis,VFeanie,Cipher,Claws of the Deep,Iris Blaster,Juanrico,Noelle's Wand R,Zlata Lalas,Iris Blaster,0,0,0,6,6,6,0,0,0,6,6,6,6,6,6,6,6,6,"https://eliya-bot.herokuapp.com/comp/wind_spbro_3anv-luca_playable-ruin_lady_meteor23-navy_officer-sleep_puppy_vt23-ice_witch-fist_0020_boss_unique-gun_0007-sword_0073_raid-staff_0043_bcollab-fist_0033_raid-gun_0007@---,555,---,555,555,555.png",2023-04-03 18:34:00
10,King Johnson,NYTink,Laputina,Sera,Memram,WLibram,One More Time,Violet Storm,Arolandnemo,Arolandnemo,Gun of Celestial Insight,Haniray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://eliya-bot.herokuapp.com/comp/pbc_ceo_playable-general_toyakiren_ny23-nihilist_mechgirl-machine_police_girl-horn_leader-blade_dancer_wt23-bow_0025_raid-sword_0044_storyevent-acce_0047-acce_0047-gun_0011_score-fist_0040_haniwa@---,---,---,---,---,---.png",2023-04-03 16:41:00
